nospo_rouge1_P,nospo_rouge1_R,nospo_rouge1_F1,santa_rouge1_P,santa_rouge1_R,santa_rouge1_F1,spo_rouge1_P,spo_rouge1_R,spo_rouge1_F1,Textrank_rouge1_P,Textrank_rouge1_R,Textrank_rouge1_F1
0.984126984126984,0.7294117647058823,0.8378378329483199,1.0,0.6705882352941176,0.8028168966028566,1.0,0.9058823529411764,0.9506172789628108,1.0,0.7411764705882353,0.8513513464618335
0.972972972972973,0.72,0.8275862020081914,0.9696969696969696,0.64,0.7710843325591522,0.9761904761904762,0.82,0.8913043428638943,1.0,0.84,0.9130434732986769
0.9833333333333332,0.7972972972972973,0.880597009979951,0.9705882352941176,0.8918918918918919,0.9295774597976592,0.9848484848484848,0.8783783783783784,0.9285714235877552,1.0,0.4189189189189189,0.5904761863147393
0.9692307692307692,0.7411764705882353,0.8399999950888889,0.981132075471698,0.611764705882353,0.7536231836746483,0.987012987012987,0.8941176470588236,0.9382715999504648,1.0,0.9882352941176472,0.9940828352368616
1.0,0.7816091954022989,0.8774193499138399,0.9807692307692308,0.5862068965517241,0.7338129449573003,1.0,0.8390804597701149,0.9124999950382812,1.0,0.632183908045977,0.7746478825778615
0.9615384615384616,0.8152173913043478,0.8823529362103807,0.9605263157894736,0.7934782608695652,0.8690476140929705,0.975,0.8478260869565217,0.906976739210384,1.0,0.6630434782608695,0.7973856161202956
0.8928571428571429,0.6172839506172839,0.7299270024657681,0.9818181818181818,0.6666666666666666,0.7941176422415658,0.9285714285714286,0.6419753086419753,0.7591240827577388,1.0,0.6666666666666666,0.7999999952000001
1.0,0.8852459016393442,0.9391304298011344,1.0,0.6557377049180327,0.7920792031369475,1.0,0.9016393442622952,0.9482758570823424,1.0,0.8688524590163934,0.9298245564281318
0.9019607843137256,0.6666666666666666,0.7666666617791668,0.951219512195122,0.5652173913043478,0.7090909044148762,0.9090909090909092,0.7246376811594203,0.8064516079669616,1.0,0.7101449275362319,0.8305084697199082
0.922077922077922,0.7888888888888889,0.8502993962279035,0.9746835443037974,0.8555555555555555,0.9112425985714786,0.9875,0.8777777777777778,0.9294117597231836,1.0,0.5111111111111111,0.6764705837586505
0.967741935483871,0.7894736842105263,0.8695652124427642,0.9423076923076924,0.6447368421052632,0.7656249951757813,0.9558823529411764,0.8552631578947368,0.90277777279321,1.0,0.6447368421052632,0.78399999523328
0.9315068493150684,0.68,0.7861271627518461,0.9710144927536232,0.67,0.7928994034522602,0.9625,0.77,0.855555550617284,1.0,0.58,0.7341772105431822
0.9285714285714286,0.8125,0.866666661688889,0.9152542372881356,0.675,0.7769784123803117,0.96875,0.775,0.8611111061728397,1.0,0.675,0.8059701444419693
0.984126984126984,0.8611111111111112,0.9185185135407408,0.9666666666666668,0.8055555555555556,0.8787878738292013,0.9696969696969696,0.8888888888888888,0.9275362268935098,1.0,0.625,0.7692307644970415
0.9807692307692308,0.6538461538461539,0.7846153798153848,0.9636363636363636,0.6794871794871795,0.7969924763525356,1.0,0.9230769230769232,0.959999995008,1.0,0.5128205128205128,0.6779660972134445
0.925925925925926,0.5617977528089888,0.6993006946002249,0.8867924528301887,0.5280898876404494,0.6619718263072804,0.9696969696969696,0.7191011235955056,0.8258064467229969,1.0,0.9775280898876404,0.9886363586370092
0.8703703703703703,0.6266666666666667,0.7286821656751397,0.912280701754386,0.6933333333333334,0.7878787829717632,0.9833333333333332,0.7866666666666666,0.8740740691358024,1.0,0.8266666666666667,0.905109484096116
0.9285714285714286,0.5492957746478874,0.6902654820549771,0.945945945945946,0.4929577464788732,0.6481481436436901,0.9473684210526316,0.5070422535211268,0.6605504541738911,1.0,0.9859154929577464,0.9929077964186912
0.9859154929577464,0.8974358974358975,0.9395973104472772,1.0,0.7948717948717948,0.8857142807795919,1.0,0.8974358974358975,0.9459459409605552,1.0,0.5769230769230769,0.7317073124330755
0.9787234042553192,0.6764705882352942,0.7999999951667297,1.0,0.7352941176470589,0.84745762223499,0.9148936170212766,0.6323529411764706,0.7478260821232514,1.0,0.9852941176470588,0.9925925875928672
0.971830985915493,0.7931034482758621,0.8734177165702612,0.972972972972973,0.8275862068965517,0.8944099329207978,0.9,0.8275862068965517,0.8622754441105813,1.0,0.632183908045977,0.7746478825778615
0.9659090909090908,0.7727272727272727,0.858585853647587,0.9871794871794872,0.7,0.8191489313150747,0.989247311827957,0.8363636363636363,0.9064039359217646,1.0,0.7272727272727273,0.8421052582825486
0.9827586206896552,0.7702702702702703,0.8636363587098256,0.9322033898305084,0.7432432432432432,0.8270676642365311,0.9833333333333332,0.7972972972972973,0.880597009979951,1.0,0.5405405405405406,0.7017543814096646
0.9866666666666668,0.6727272727272727,0.7999999951789628,0.975,0.7090909090909091,0.8210526267036012,1.0,0.7909090909090909,0.8832487260326213,1.0,0.7,0.8235294069204152
0.9523809523809524,0.7352941176470589,0.8298755137549286,0.9693877551020408,0.6985294117647058,0.8119658070976696,0.9669421487603306,0.8602941176470589,0.9105058315929084,1.0,0.5220588235294118,0.6859903336572617
1.0,0.7951807228915663,0.8859060353335435,0.9666666666666668,0.6987951807228916,0.8111888063181575,1.0,0.8433734939759037,0.9150326747746594,1.0,0.7590361445783133,0.8630136937239632
0.979381443298969,0.7916666666666666,0.8755760319225296,0.9529411764705882,0.675,0.790243897584771,0.9902912621359224,0.85,0.9147982013070844,1.0,0.575,0.7301587255228017
0.96875,0.8266666666666667,0.8920863259665649,0.953125,0.8133333333333334,0.8776978367579319,1.0,0.88,0.9361702077863288,1.0,0.6666666666666666,0.7999999952000001
