Textrank_berts_P,Textrank_berts_R,Textrank_berts_F1
0.7952,0.9269,0.856
0.8385,0.92,0.8774
0.7359,0.8908,0.806
0.7668,0.9232,0.8377
0.7888,0.9022,0.8417
0.7328,0.8837,0.8012
0.8686,0.9648,0.9142
0.7813,0.8923,0.8331
0.8187,0.91,0.8619
0.8302,0.9168,0.8713
0.8139,0.9318,0.8689
0.9223,0.9245,0.9234
0.893,0.9273,0.9098
0.8165,0.9446,0.8759
0.9116,0.9156,0.9136
0.8465,0.949,0.8948
0.8513,0.9216,0.8851
0.9261,0.9852,0.9547
0.9046,0.9153,0.91
0.7516,0.9096,0.8231
0.7823,0.9163,0.844
0.7511,0.9241,0.8287
0.996,0.9976,0.9968
0.8363,0.9194,0.8759
0.8285,0.912,0.8683
0.7532,0.9236,0.8297
0.839,0.9192,0.8773
0.8954,0.9814,0.9365
0.9275,0.9667,0.9467
0.9971,0.9982,0.9976
0.8172,0.9475,0.8775
0.8676,0.9261,0.8959
0.9922,0.9942,0.9932
0.7964,0.9262,0.8564
0.8512,0.9612,0.9029
0.8728,0.9635,0.9159
0.8025,0.8951,0.8463
0.9948,0.9971,0.9959
0.9356,0.9802,0.9574
0.7251,0.9003,0.8032
0.7519,0.8847,0.8129
0.7585,0.8939,0.8207
0.8163,0.9099,0.8606
0.9849,0.9886,0.9868
0.9851,0.9893,0.9872
0.7465,0.9058,0.8185
0.8354,0.899,0.866
0.9935,0.995,0.9942
0.7952,0.9194,0.8528
0.8708,0.8887,0.8797
0.8478,0.9155,0.8804
0.857,0.9607,0.9059
0.8842,0.9195,0.9015
0.7537,0.9118,0.8253
0.8663,0.9172,0.891
0.8795,0.9658,0.9206
0.8696,0.9487,0.9074
0.9128,0.9167,0.9147
0.9781,0.9835,0.9808
0.9552,0.9867,0.9707
0.864,0.9107,0.8867
0.7551,0.9024,0.8222
0.8568,0.901,0.8784
0.9919,0.9939,0.9929
0.915,0.9778,0.9453
0.9366,0.9385,0.9376
0.8379,0.9236,0.8787
0.7865,0.9146,0.8457
0.8112,0.8932,0.8502
0.7581,0.9097,0.827
0.7449,0.9013,0.8156
0.8867,0.9223,0.9042
0.9902,0.9925,0.9913
0.991,0.9933,0.9922
0.8133,0.8978,0.8535
0.9253,0.9267,0.926
0.8511,0.9182,0.8834
0.8928,0.9262,0.9092
0.9334,0.9348,0.9341
0.8499,0.9192,0.8832
0.9863,0.9904,0.9883
0.9824,0.9868,0.9846
0.9976,0.9988,0.9982
0.7807,0.9263,0.8473
0.7629,0.9641,0.8517
0.7941,0.9311,0.8572
0.9082,0.9195,0.9138
0.7962,0.9065,0.8478
0.9894,0.9908,0.9901
0.8346,0.9167,0.8737
0.8616,0.9206,0.8902
0.7943,0.8953,0.8418
0.7155,0.8923,0.7942
0.924,0.9247,0.9243
0.8426,0.8955,0.8683
0.8857,0.9416,0.9128
0.9936,0.995,0.9943
0.927,0.9868,0.956
0.991,0.9925,0.9918
0.8767,0.9122,0.8941
0.8208,0.9026,0.8597
0.924,0.927,0.9255
0.925,0.9858,0.9544
0.8452,0.9327,0.8868
0.8334,0.9556,0.8903
0.9243,0.9248,0.9245
0.9913,0.9939,0.9926
0.8161,0.9089,0.86
0.8775,0.9603,0.9171
0.8831,0.9362,0.9089
0.9933,0.995,0.9941
0.9962,0.9972,0.9967
0.8925,0.9701,0.9297
0.8034,0.9099,0.8533
0.7742,0.9082,0.8359
0.8984,0.9738,0.9346
0.8619,0.907,0.8839
0.8235,0.8963,0.8583
0.9882,0.9913,0.9897
0.9873,0.989,0.9882
0.8037,0.9312,0.8628
0.7727,0.8916,0.8279
0.7673,0.9253,0.8389
0.8228,0.9139,0.8659
0.7948,0.9023,0.8451
0.9876,0.9903,0.9889
0.9858,0.9885,0.9872
0.8405,0.9456,0.8899
0.9911,0.9941,0.9926
0.987,0.9916,0.9893
0.9121,0.9122,0.9122
0.8815,0.9474,0.9133
0.9931,0.9953,0.9942
0.923,0.9216,0.9223
0.9002,0.9403,0.9198
0.794,0.9154,0.8504
0.9116,0.9725,0.941
0.7979,0.8864,0.8399
0.9265,0.9279,0.9272
0.9356,0.963,0.9491
0.8199,0.9289,0.871
0.9915,0.9931,0.9923
0.895,0.8956,0.8953
0.7747,0.8928,0.8296
0.9888,0.9927,0.9907
0.8883,0.9829,0.9332
0.8773,0.9529,0.9135
0.9222,0.924,0.9231
0.9119,0.9629,0.9367
0.8775,0.9738,0.9231
0.9902,0.9923,0.9913
0.9126,0.9128,0.9127
0.9169,0.9879,0.9511
0.7441,0.9521,0.8354
0.7678,0.8938,0.8261
0.8252,0.9103,0.8657
0.8521,0.9295,0.8891
0.9192,0.9468,0.9328
0.7876,0.9428,0.8583
0.9375,0.9382,0.9378
0.8166,0.9052,0.8586
0.8483,0.906,0.8762
0.7175,0.8653,0.7845
0.811,0.872,0.8404
0.9973,0.9984,0.9978
0.8673,0.9282,0.8967
0.9952,0.9964,0.9958
0.9921,0.9946,0.9933
0.7636,0.9269,0.8374
0.912,0.9874,0.9482
0.7235,0.9413,0.8182
0.7616,0.9101,0.8293
0.9115,0.9668,0.9383
0.8212,0.9412,0.8772
0.859,0.9061,0.8819
0.7939,0.8777,0.8337
0.8866,0.8872,0.8869
0.8519,0.9027,0.8765
0.854,0.9204,0.8859
0.9157,0.9165,0.9161
0.9965,0.9978,0.9971
0.9868,0.9908,0.9888
0.761,0.9021,0.8256
0.9215,0.9598,0.9402
0.8323,0.9128,0.8707
0.8687,0.9255,0.8962
0.7825,0.9175,0.8446
0.7746,0.9221,0.8419
0.793,0.9016,0.8438
0.7712,0.9172,0.8379
0.8518,0.9347,0.8913
0.829,0.9676,0.8929
0.8187,0.929,0.8704
0.769,0.8886,0.8245
0.8556,0.907,0.8806
0.7831,0.9198,0.8459
0.7605,0.9078,0.8276
0.7487,0.9171,0.8244
0.7941,0.9434,0.8623
