spo_rouge1_P,spo_rouge1_R,spo_rouge1_F1
1.0,0.925,0.961038956046551
0.9743589743589743,0.8837209302325582,0.9268292633045808
0.9791666666666666,0.8545454545454545,0.9126213542463947
0.9836065573770492,0.7894736842105263,0.8759124038190634
0.9811320754716981,0.8666666666666667,0.9203539773200722
0.9726027397260274,0.8875,0.9281045701738647
1.0,0.7910447761194029,0.883333328401389
0.9428571428571428,0.6875,0.7951807180142256
0.94,0.7966101694915254,0.8623853161350055
0.9607843137254902,0.7205882352941176,0.8235294068667468
0.9733333333333334,0.8295454545454546,0.8957055165041967
0.8888888888888888,0.7272727272727273,0.79999999505
0.9722222222222222,0.813953488372093,0.8860759444063453
0.9506172839506173,0.7623762376237624,0.8461538412142254
1.0,0.8070175438596491,0.8932038785521728
1.0,0.9454545454545454,0.9719626118263605
0.96,0.8,0.8727272677685951
0.9622641509433962,0.7846153846153846,0.8644067747127263
0.9672131147540983,0.8805970149253731,0.9218749950109864
1.0,0.782051282051282,0.8776978368014079
1.0,0.7954545454545454,0.8860759444319821
1.0,0.7818181818181819,0.8775510154831322
0.9454545454545454,0.7878787878787878,0.8595041272727272
0.9841269841269841,0.8857142857142857,0.9323308220815195
0.9821428571428571,0.859375,0.9166666616888889
0.9622641509433962,0.8793103448275862,0.9189189139290642
0.9487179487179487,0.7872340425531915,0.8604651113223364
1.0,0.8305084745762712,0.9074074024502744
1.0,0.8979591836734694,0.9462365541542375
1.0,0.875,0.9333333283555556
1.0,0.7872340425531915,0.8809523760232427
0.9636363636363636,0.8833333333333333,0.9217391254442344
0.9591836734693877,0.734375,0.83185840216775
1.0,0.9761904761904762,0.9879518022296414
0.9814814814814815,0.8833333333333333,0.9298245564173593
0.9852941176470589,0.8481012658227848,0.9115646208783377
0.9861111111111112,0.8658536585365854,0.9220779170990051
0.9642857142857143,0.8709677419354839,0.915254232301063
1.0,0.9420289855072463,0.9701492487357987
0.9807692307692307,0.7611940298507462,0.8571428522223008
1.0,0.9305555555555556,0.964028771984887
1.0,0.8793103448275862,0.9357798115343826
1.0,0.8571428571428571,0.9230769181065088
0.9420289855072463,0.7831325301204819,0.8552631529371537
0.9807692307692307,0.9272727272727272,0.9532710230413136
1.0,0.8387096774193549,0.9122806967928594
0.9807692307692307,0.8225806451612904,0.8947368371437365
0.9795918367346939,0.75,0.8495575172119978
0.9354838709677419,0.7435897435897436,0.8285714236367347
0.9166666666666666,0.8,0.8543689270619286
0.9411764705882353,0.8,0.8648648598977356
0.9508196721311475,0.7631578947368421,0.8467153235270926
0.9846153846153847,0.927536231884058,0.9552238756014703
0.9696969696969697,0.6530612244897959,0.7804878000684117
0.9594594594594594,0.7717391304347826,0.8554216818057774
0.8983050847457628,0.726027397260274,0.8030302980865474
0.975609756097561,0.7272727272727273,0.8333333284396702
0.9611650485436893,0.8761061946902655,0.9166666616773834
0.8108108108108109,0.6521739130434783,0.7228915613238498
0.9830508474576272,0.8854961832061069,0.9317269026441509
0.8571428571428571,0.6857142857142857,0.7619047569664904
0.9852941176470589,0.8589743589743589,0.9178082142015388
0.9821428571428571,0.873015873015873,0.9243697429164607
1.0,0.8717948717948718,0.9315068443385252
0.9361702127659575,0.7213114754098361,0.8148148098988341
0.9807692307692307,0.7611940298507462,0.8571428522223008
0.96875,0.8493150684931506,0.9051094840726731
0.9565217391304348,0.7857142857142857,0.8627450930872741
0.9830508474576272,0.8169014084507042,0.892307687350296
1.0,0.7692307692307693,0.8695652124763706
0.9811320754716981,0.8524590163934426,0.912280696779009
0.9821428571428571,0.88,0.9282700372091367
0.9761904761904762,0.803921568627451,0.8817204251543532
0.9759036144578314,0.7864077669902912,0.870967736993294
0.9680851063829787,0.8125,0.8834951406692432
0.9047619047619048,0.8085106382978723,0.8539325792854439
1.0,0.9047619047619048,0.9499999950125001
0.9795918367346939,0.8888888888888888,0.9320388299632388
0.9743589743589743,0.7755102040816326,0.8636363587009297
0.975609756097561,0.9090909090909091,0.9411764655944637
0.9868421052631579,0.8064516129032258,0.887573959547635
0.9622641509433962,0.7611940298507462,0.8499999950680556
0.9836065573770492,0.8450704225352113,0.9090909041196052
0.9384615384615385,0.8472222222222222,0.890510943918163
0.9629629629629629,0.7647058823529411,0.8524590114592852
0.9850746268656716,0.7857142857142857,0.8741721804938379
1.0,0.868421052631579,0.9295774598135291
0.9830508474576272,0.8405797101449275,0.9062499950305176
0.9682539682539683,0.8243243243243243,0.8905109439373436
0.9154929577464789,0.7471264367816092,0.8227848051778562
1.0,0.9555555555555556,0.9772727222753099
0.958904109589041,0.8974358974358975,0.927152312886277
1.0,0.84,0.9130434732986769
0.9454545454545454,0.8,0.8666666617013888
1.0,0.9191919191919192,0.9578947318509696
0.9814814814814815,0.8833333333333333,0.9298245564173593
1.0,0.9367088607594937,0.9673202564432484
1.0,0.7530864197530864,0.8591549246766516
0.9830508474576272,0.9206349206349206,0.9508196671365226
0.9777777777777777,0.8627450980392157,0.9166666616861979
0.9795918367346939,0.8727272727272727,0.9230769180935651
1.0,0.8333333333333334,0.9090909041322315
1.0,0.8852459016393442,0.9391304298011343
1.0,0.7714285714285715,0.8709677370187306
0.9342105263157895,0.6513761467889908,0.7675675627266618
1.0,0.9195402298850575,0.9580838273441142
0.9814814814814815,0.8548387096774194,0.9137930984720571
0.9591836734693877,0.7833333333333333,0.8623853161518392
0.972972972972973,0.8,0.8780487755353956
0.9857142857142858,0.8846153846153846,0.9324324274470417
1.0,0.76,0.8636363587293389
0.9852941176470589,0.8933333333333333,0.9370629320749182
0.9814814814814815,0.8412698412698413,0.9059829010124919
0.987012987012987,0.9156626506024096,0.9499999950070314
0.9545454545454546,0.875,0.9130434732703214
1.0,0.7818181818181819,0.8775510154831322
0.9672131147540983,0.9516129032258065,0.9593495884962655
1.0,0.8032786885245902,0.8909090859685951
0.9782608695652174,0.8333333333333334,0.8999999950320001
1.0,0.8857142857142857,0.9393939344123049
0.9787234042553191,0.7301587301587301,0.8363636314694215
0.9772727272727273,0.8775510204081632,0.9247311778101515
1.0,0.925,0.961038956046551
0.9387755102040817,0.8518518518518519,0.8932038785069283
0.9583333333333334,0.6764705882352942,0.7931034434244948
1.0,0.9047619047619048,0.9499999950125001
0.9821428571428571,0.8088235294117647,0.8870967692403747
0.9803921568627451,0.78125,0.8695652124551985
0.9767441860465116,0.8842105263157894,0.9281767905924728
1.0,0.8928571428571429,0.9433962214311145
1.0,0.9152542372881356,0.9557522073991699
1.0,0.8481012658227848,0.9178082142118597
1.0,0.8787878787878788,0.9354838659885536
0.9295774647887324,0.8354430379746836,0.8799999950142222
0.9615384615384616,0.8620689655172413,0.9090909041057852
1.0,0.9382716049382716,0.9681528612471094
0.9661016949152542,0.8382352941176471,0.8976377903007007
1.0,0.84375,0.9152542323240449
0.9787234042553191,0.92,0.9484536032522054
1.0,0.8688524590163934,0.9298245564281318
0.9701492537313433,0.8666666666666667,0.9154929527623489
1.0,0.92,0.958333328342014
0.9047619047619048,0.6129032258064516,0.7307692259541421
0.9830508474576272,0.8923076923076924,0.9354838659794487
0.9761904761904762,0.9318181818181818,0.9534883670957275
1.0,0.9583333333333334,0.9787233992575827
0.9777777777777777,0.8627450980392157,0.9166666616861979
1.0,0.8095238095238095,0.8947368371606649
0.9662921348314607,0.8686868686868687,0.9148936120354234
1.0,0.8378378378378378,0.9117647009212804
0.9846153846153847,0.8767123287671232,0.9275362269008612
0.9846153846153847,0.9696969696969697,0.9770992316415129
0.98,0.765625,0.8596491178824254
0.9411764705882353,0.6666666666666666,0.7804878000237954
1.0,0.8194444444444444,0.9007633538278655
0.9529411764705882,0.8709677419354839,0.9101123545606616
0.9811320754716981,0.9122807017543859,0.9454545404611571
0.9454545454545454,0.7878787878787878,0.8595041272727272
1.0,0.8426966292134831,0.9146341413779
1.0,0.9183673469387755,0.9574468035196922
1.0,0.8,0.8888888839506174
1.0,0.8405797101449275,0.9133858218091636
1.0,0.9508196721311475,0.9747899109695644
