santa_bert_R,santa_bert_R,santa_bert_F1
0.83,0.9419,0.8824
0.8108,0.9097,0.8574
0.8363,0.8819,0.8585
0.8423,0.9236,0.8811
0.8619,0.9401,0.8993
0.8023,0.9103,0.8529
0.8783,0.9246,0.9008
0.8571,0.9493,0.9009
0.769,0.8814,0.8214
0.8683,0.9212,0.894
0.8453,0.9528,0.8958
0.8111,0.9054,0.8556
0.8909,0.9296,0.9098
0.8519,0.9239,0.8864
0.9081,0.9504,0.9288
0.7726,0.8755,0.8208
0.8167,0.8894,0.8515
0.8945,0.9674,0.9295
0.874,0.9559,0.9131
0.8519,0.914,0.8818
0.8402,0.9095,0.8735
0.8558,0.9153,0.8845
0.8546,0.9173,0.8848
0.8789,0.9294,0.9034
0.8793,0.938,0.9077
0.8637,0.9527,0.906
0.8511,0.9383,0.8926
0.8381,0.9593,0.8946
0.9358,0.9742,0.9546
0.8272,0.9332,0.877
0.8517,0.9267,0.8876
0.798,0.9059,0.8485
0.9312,0.9642,0.9474
0.8299,0.9229,0.8739
0.8348,0.9067,0.8693
0.8468,0.9294,0.8862
0.8622,0.9095,0.8852
0.902,0.9638,0.9319
0.9132,0.9658,0.9388
0.8759,0.9411,0.9073
0.8535,0.9236,0.8872
0.8521,0.9172,0.8835
0.8458,0.9072,0.8754
0.9005,0.9544,0.9267
0.8092,0.9109,0.8571
0.8747,0.9297,0.9013
0.884,0.9493,0.9155
0.8546,0.9267,0.8892
0.8453,0.9101,0.8765
0.8848,0.9347,0.909
0.8665,0.9183,0.8917
0.7834,0.8778,0.8279
0.863,0.9197,0.8904
0.8814,0.932,0.906
0.822,0.9092,0.8634
0.8529,0.8737,0.8632
0.8638,0.9321,0.8967
0.8978,0.942,0.9194
0.8506,0.9182,0.8831
0.8519,0.9087,0.8794
0.8698,0.9155,0.892
0.9051,0.9466,0.9254
0.8302,0.9026,0.8649
0.8746,0.9488,0.9102
0.768,0.8815,0.8208
0.7977,0.9193,0.8542
0.8512,0.9214,0.8849
0.7592,0.8781,0.8143
0.8213,0.9045,0.8609
0.764,0.8752,0.8159
0.8896,0.936,0.9122
0.8631,0.9315,0.896
0.8466,0.918,0.8808
0.8595,0.9362,0.8962
0.8249,0.8816,0.8523
0.8164,0.8838,0.8488
0.8397,0.9076,0.8724
0.7603,0.9184,0.8319
0.8337,0.9277,0.8782
0.8713,0.9431,0.9058
0.9114,0.9619,0.936
0.8383,0.8899,0.8633
0.7898,0.8871,0.8356
0.8886,0.9542,0.9202
0.8737,0.9248,0.8985
0.8179,0.8926,0.8536
0.8181,0.876,0.8461
0.7972,0.8861,0.8393
0.8294,0.8995,0.863
0.7999,0.9158,0.8539
0.836,0.9052,0.8692
0.8251,0.8992,0.8606
0.819,0.8768,0.8469
0.8268,0.9145,0.8685
0.8826,0.932,0.9067
0.8361,0.8928,0.8635
0.7922,0.8639,0.8265
0.8282,0.9012,0.8632
