santa_rouge1_P,santa_rouge1_R,santa_rouge1_F1
0.9117647058823529,0.7209302325581395,0.8051948002631135
0.9523809523809523,0.7272727272727273,0.8247422631310448
0.9516129032258065,0.7763157894736842,0.8550724588195758
1.0,0.8833333333333333,0.9380530923643199
0.967741935483871,0.75,0.8450704176155526
0.9803921568627451,0.746268656716418,0.8474576222105717
1.0,0.6666666666666666,0.7999999952000001
0.9777777777777777,0.7457627118644068,0.8461538412444528
1.0,0.7647058823529411,0.8666666617555556
0.9696969696969697,0.7272727272727273,0.8311688262708721
0.9512195121951219,0.7090909090909091,0.8124999951063369
0.9855072463768116,0.7906976744186046,0.8774193498988554
0.9090909090909091,0.594059405940594,0.7185628694711177
1.0,0.8070175438596491,0.8932038785521728
0.9803921568627451,0.9090909090909091,0.9433962214222144
1.0,0.7166666666666667,0.8349514514468848
0.98,0.7538461538461538,0.8521739081285444
0.9607843137254902,0.7313432835820896,0.8305084696681989
0.9803921568627451,0.6410256410256411,0.7751937936686497
1.0,0.7045454545454546,0.826666661816889
1.0,0.7090909090909091,0.8297872291874152
0.9591836734693877,0.7121212121212122,0.8173912994570889
0.9454545454545454,0.7428571428571429,0.8319999950720002
0.9772727272727273,0.671875,0.7962962914677642
0.9787234042553191,0.7931034482758621,0.8761904712453515
0.9743589743589743,0.8085106382978723,0.8837209252758248
1.0,0.6440677966101694,0.7835051498735253
0.9873417721518988,0.7959183673469388,0.8813559272610042
1.0,0.9375,0.967741930489074
1.0,0.723404255319149,0.8395061679682977
1.0,0.7333333333333333,0.8461538412721893
0.9047619047619048,0.59375,0.716981127290851
0.9692307692307692,0.75,0.8456375789739201
0.896551724137931,0.43333333333333335,0.5842696585279638
0.9642857142857143,0.6835443037974683,0.7999999951451303
0.9558823529411765,0.7926829268292683,0.8666666617102224
1.0,0.6935483870967742,0.819047614211338
0.9661016949152542,0.8260869565217391,0.8906249950305176
0.9333333333333333,0.6268656716417911,0.749999995192921
1.0,0.8333333333333334,0.9090909041322315
0.9791666666666666,0.8103448275862069,0.8867924478746886
1.0,0.8367346938775511,0.9111111061506174
0.9672131147540983,0.7108433734939759,0.8194444395611498
0.9375,0.8181818181818182,0.8737864027900839
1.0,0.8548387096774194,0.9217391254654065
0.9787234042553191,0.7419354838709677,0.8440366923423954
0.9555555555555556,0.671875,0.7889908208399966
0.9259259259259259,0.6410256410256411,0.7575757527410469
0.9565217391304348,0.8,0.8712871237525733
0.9122807017543859,0.65,0.7591240827321647
0.8627450980392157,0.5789473684210527,0.6929133810205221
0.9795918367346939,0.6956521739130435,0.8135593171775353
1.0,0.5714285714285714,0.7272727226446282
0.9420289855072463,0.7065217391304348,0.8074534112511093
0.9285714285714286,0.7123287671232876,0.8062015454744307
1.0,0.7454545454545455,0.8541666617730035
0.9387755102040817,0.8141592920353983,0.8720379097172122
0.88,0.4782608695652174,0.6197183052965682
1.0,0.8396946564885496,0.9128630655773834
0.84,0.6,0.699999995138889
0.9807692307692307,0.6538461538461539,0.7846153798153848
0.9646017699115044,0.8650793650793651,0.9121338862281824
0.96,0.6153846153846154,0.749999995239258
0.9777777777777777,0.7213114754098361,0.8301886743592026
0.9772727272727273,0.6417910447761194,0.7747747699894488
0.9193548387096774,0.7808219178082192,0.8444444394776407
0.9534883720930233,0.7321428571428571,0.8282828233690439
1.0,0.5774647887323944,0.7321428525015944
0.9836065573770492,0.7692307692307693,0.8633093475927747
1.0,0.7868852459016393,0.8807339400252504
0.9791666666666666,0.752,0.8506787281177699
1.0,0.8431372549019608,0.9148936120574921
0.971830985915493,0.6699029126213593,0.793103443444973
1.0,0.7857142857142857,0.8799999950720001
0.875,0.7446808510638298,0.8045976961817941
0.9642857142857143,0.8571428571428571,0.9075630202273851
1.0,0.7222222222222222,0.8387096725494276
0.9761904761904762,0.8367346938775511,0.901098896128487
0.90625,0.6590909090909091,0.7631578898614959
1.0,0.9247311827956989,0.9608938497562498
0.9591836734693877,0.7014925373134329,0.8103448227065994
0.9827586206896551,0.8028169014084507,0.8837209252833365
0.8771929824561403,0.6944444444444444,0.7751937935172166
0.9347826086956522,0.6323529411764706,0.7543859600984918
0.9710144927536232,0.7976190476190477,0.8758169885121108
1.0,0.7894736842105263,0.8823529362456748
1.0,0.7681159420289855,0.8688524541023919
0.9836065573770492,0.8108108108108109,0.8888888839352539
0.9722222222222222,0.8045977011494253,0.880503139698588
0.9866666666666667,0.8222222222222222,0.8969696920110194
0.9818181818181818,0.6923076923076923,0.812030070337498
1.0,0.7866666666666666,0.8805970099966586
0.9714285714285714,0.5230769230769231,0.6799999954500001
0.9615384615384616,0.7575757575757576,0.8474576221890263
0.9791666666666666,0.7833333333333333,0.8703703654320989
1.0,0.8607594936708861,0.9251700630552085
1.0,0.7901234567901234,0.8827586157583829
1.0,0.8571428571428571,0.9230769181065088
0.9767441860465116,0.8235294117647058,0.8936170163128112
0.9459459459459459,0.6363636363636364,0.7608695604087903
1.0,0.7777777777777778,0.8749999950781251
0.9591836734693877,0.7704918032786885,0.8545454496049587
0.9259259259259259,0.7142857142857143,0.8064516079864725
0.96,0.6605504587155964,0.782608690822897
0.9714285714285714,0.7816091954022989,0.8662420332751837
1.0,0.8548387096774194,0.9217391254654065
0.9302325581395349,0.6666666666666666,0.7766990242624188
0.967741935483871,0.6666666666666666,0.789473679380194
0.9344262295081968,0.7307692307692307,0.8201438799668754
1.0,0.72,0.8372092974580855
0.95,0.5066666666666667,0.6608695606805294
0.9782608695652174,0.7142857142857143,0.8256880685161183
