Textrank_rouge1_P,Textrank_rouge1_R,Textrank_rouge1_F1
1.0,0.835820895522388,0.9105691007310464
1.0,0.8545454545454545,0.9215686224817379
1.0,0.4807692307692308,0.6493506449654243
1.0,0.49122807017543857,0.6588235249937716
1.0,0.46153846153846156,0.6315789430470914
1.0,0.96875,0.984126979128244
1.0,0.9032258064516129,0.9491525373858086
1.0,0.703125,0.8256880685464187
1.0,0.9795918367346939,0.989690716650016
1.0,0.9803921568627451,0.9900990049014802
1.0,0.9772727272727273,0.9885057421270974
1.0,0.5425531914893617,0.7034482713017837
1.0,0.6311475409836066,0.7738693419893438
1.0,0.59375,0.7450980345405613
1.0,0.6382978723404256,0.7792207744644967
1.0,0.9473684210526315,0.9729729679766254
1.0,0.759493670886076,0.8633093476114073
1.0,0.28205128205128205,0.4399999965680001
1.0,0.5694444444444444,0.7256637121904613
1.0,0.6666666666666666,0.7999999952000001
1.0,0.7230769230769231,0.8392857094148597
1.0,0.72,0.8372092974580855
1.0,0.5698924731182796,0.726027392635579
1.0,0.8313253012048193,0.9078947318845222
1.0,0.3942307692307692,0.5655172373231867
1.0,0.5413533834586466,0.7024390198329566
