spo_bert_P,spo_bert_R,spo_bert_F1
0.9423,0.9734,0.9576
0.9493,0.9729,0.9609
0.928,0.9616,0.9445
0.8394,0.9053,0.8711
0.9155,0.9466,0.9308
0.8847,0.9252,0.9045
0.8709,0.9287,0.8988
0.9053,0.9419,0.9232
0.9417,0.9768,0.959
0.9406,0.9753,0.9576
0.8965,0.9292,0.9125
0.9262,0.9566,0.9412
0.9068,0.9385,0.9224
0.938,0.9601,0.9489
0.9258,0.9566,0.9409
0.8947,0.9361,0.9149
0.9107,0.9649,0.937
0.9643,0.9777,0.971
0.9301,0.9571,0.9434
0.9424,0.9742,0.958
0.972,0.9901,0.981
0.8327,0.9371,0.8818
0.9522,0.977,0.9645
0.9661,0.9849,0.9754
0.9781,0.9857,0.9819
0.9296,0.9729,0.9508
0.8929,0.9444,0.9179
0.9177,0.9575,0.9372
0.9291,0.9697,0.9489
0.8841,0.9274,0.9052
0.9621,0.9724,0.9672
0.8918,0.9472,0.9187
0.8354,0.9181,0.8748
0.8719,0.9292,0.8997
0.9187,0.9506,0.9344
0.9467,0.9643,0.9554
0.8711,0.9339,0.9014
0.8958,0.9409,0.9178
0.9451,0.9797,0.9621
0.8982,0.9477,0.9223
0.9149,0.9585,0.9362
0.9693,0.9829,0.9761
0.8455,0.9062,0.8748
0.8962,0.9492,0.9219
0.934,0.9747,0.9539
0.8987,0.9438,0.9207
0.8733,0.9299,0.9007
0.9521,0.9774,0.9646
0.8482,0.931,0.8877
0.9151,0.9573,0.9357
0.9275,0.9616,0.9442
0.9277,0.9757,0.9511
0.8435,0.9155,0.878
0.8634,0.9246,0.893
0.897,0.9601,0.9275
0.9051,0.9573,0.9305
0.907,0.9443,0.9252
0.9067,0.9397,0.9229
0.9361,0.9654,0.9505
0.8847,0.938,0.9106
0.9119,0.954,0.9324
0.9235,0.9712,0.9468
0.8711,0.9516,0.9096
0.9111,0.9576,0.9338
0.8636,0.9205,0.8911
0.9018,0.9459,0.9233
0.8939,0.9444,0.9185
0.9442,0.9628,0.9534
0.9483,0.9689,0.9585
0.8347,0.9572,0.8918
0.8586,0.9421,0.8984
0.9101,0.9787,0.9432
0.9343,0.9781,0.9557
0.9303,0.9635,0.9467
0.8753,0.935,0.9041
0.8928,0.9461,0.9187
0.9195,0.9516,0.9353
0.9371,0.9579,0.9474
0.91,0.9523,0.9307
0.9111,0.9644,0.937
0.9056,0.9374,0.9213
