nospo_rouge1_P,nospo_rouge1_R,nospo_rouge1_F1
0.967741935483871,0.7894736842105263,0.8695652124427642
0.9315068493150684,0.68,0.7861271627518461
0.9285714285714286,0.8125,0.866666661688889
0.9841269841269841,0.8611111111111112,0.9185185135407408
0.9807692307692307,0.6538461538461539,0.7846153798153848
0.9259259259259259,0.5617977528089888,0.6993006946002249
0.8703703703703703,0.6266666666666667,0.7286821656751397
0.9285714285714286,0.5492957746478874,0.6902654820549771
0.9859154929577465,0.8974358974358975,0.9395973104472773
0.9787234042553191,0.6764705882352942,0.7999999951667297
0.971830985915493,0.7931034482758621,0.8734177165702612
0.9659090909090909,0.7727272727272727,0.858585853647587
0.9827586206896551,0.7702702702702703,0.8636363587098256
0.9866666666666667,0.6727272727272727,0.7999999951789628
0.9523809523809523,0.7352941176470589,0.8298755137549286
1.0,0.7951807228915663,0.8859060353335435
0.979381443298969,0.7916666666666666,0.8755760319225296
0.96875,0.8266666666666667,0.8920863259665649
1.0,0.8529411764705882,0.9206349156664146
0.95,0.5327102803738317,0.6826347259349564
0.9583333333333334,0.5476190476190477,0.6969696923415979
0.9782608695652174,0.7627118644067796,0.857142852219501
0.8780487804878049,0.6923076923076923,0.7741935434570469
0.9361702127659575,0.6567164179104478,0.7719298197152971
1.0,0.7454545454545455,0.8541666617730035
1.0,0.8269230769230769,0.9052631529396122
1.0,0.8070175438596491,0.8932038785521728
0.9038461538461539,0.6025641025641025,0.7230769182769231
1.0,0.75,0.8571428522448981
0.9615384615384616,0.8064516129032258,0.8771929774946138
0.98,0.765625,0.8596491178824254
0.9117647058823529,0.6326530612244898,0.7469879469705328
0.9166666666666666,0.6470588235294118,0.7586206848038051
0.9333333333333333,0.6363636363636364,0.7567567519357196
0.9753086419753086,0.8404255319148937,0.9028571378847349
1.0,0.8114754098360656,0.89592759686411
1.0,0.96875,0.984126979128244
0.8823529411764706,0.6382978723404256,0.740740735869532
0.9411764705882353,0.8421052631578947,0.888888883904321
0.9850746268656716,0.8354430379746836,0.9041095840748733
1.0,0.8717948717948718,0.9315068443385252
0.9795918367346939,0.6666666666666666,0.7933884249327231
1.0,0.9090909090909091,0.9523809473922903
0.9649122807017544,0.8461538461538461,0.9016393392837948
0.95,0.76,0.8444444395061729
0.9701492537313433,0.6989247311827957,0.8124999951320313
0.8985507246376812,0.7469879518072289,0.8157894687266274
0.967741935483871,0.8653846153846154,0.9137055787719345
0.963302752293578,0.7894736842105263,0.8677685900904994
1.0,0.8076923076923077,0.8936170163331825
0.9122807017543859,0.6933333333333334,0.7878787829717632
0.9032258064516129,0.7,0.7887323894465385
0.926829268292683,0.6333333333333333,0.7524752427016961
0.9384615384615385,0.6777777777777778,0.7870967693236213
0.9069767441860465,0.75,0.8210526266238228
0.9767441860465116,0.84,0.9032258014799399
0.9420289855072463,0.7558139534883721,0.8387096724795006
0.9558823529411765,0.8666666666666667,0.9090909041028902
0.94,0.734375,0.8245613985841799
0.9344262295081968,0.7037037037037037,0.8028168965076374
0.9634146341463414,0.797979797979798,0.8729281718396875
0.9230769230769231,0.5714285714285714,0.7058823482179931
0.8947368421052632,0.7555555555555555,0.8192771034692989
0.92,0.5348837209302325,0.6764705835856402
0.974025974025974,0.7978723404255319,0.8771929775055574
0.9365079365079365,0.7023809523809523,0.8027210835374149
0.875,0.6222222222222222,0.7272727224152472
0.967741935483871,0.5357142857142857,0.6896551678266615
0.94,0.7014925373134329,0.8034187985243626
0.9545454545454546,0.6494845360824743,0.7730061301501752
0.9230769230769231,0.8,0.8571428521683674
0.9863013698630136,0.8181818181818182,0.8944099329315999
0.9661016949152542,0.7916666666666666,0.8702290026828274
0.9459459459459459,0.8536585365853658,0.8974358924490468
0.9759036144578314,0.7431192660550459,0.8437499950916885
0.9642857142857143,0.574468085106383,0.719999995320889
0.953125,0.8133333333333334,0.8776978367579319
0.9183673469387755,0.6923076923076923,0.7894736793090181
0.9555555555555556,0.7543859649122807,0.843137249971165
1.0,0.7868852459016393,0.8807339400252504
1.0,0.7719298245614035,0.8712871237957064
1.0,0.9375,0.967741930489074
0.8529411764705882,0.6744186046511628,0.7532467483150616
1.0,0.7884615384615384,0.8817204251774773
0.9354838709677419,0.725,0.8169014035310453
0.9821428571428571,0.6875,0.8088235245674741
0.8703703703703703,0.6911764705882353,0.770491798344531
0.9767441860465116,0.7777777777777778,0.8659793765075993
1.0,0.7380952380952381,0.8493150636066805
1.0,0.625,0.7692307644970415
0.9322033898305084,0.7333333333333333,0.8208955174593451
0.9848484848484849,0.8125,0.8904109539500845
1.0,0.8252427184466019,0.9042553141947713
0.9148936170212766,0.6515151515151515,0.7610619420440129
0.9818181818181818,0.6666666666666666,0.7941176422415658
1.0,0.6176470588235294,0.7636363589157026
1.0,0.95,0.9743589693622617
0.9615384615384616,0.7575757575757576,0.8474576221890263
0.9705882352941176,0.9166666666666666,0.9428571378612245
0.9836065573770492,0.8571428571428571,0.9160305293747452
0.95,0.8260869565217391,0.8837209252568958
0.9705882352941176,0.75,0.8461538412360289
0.9146341463414634,0.7075471698113207,0.7978723355070168
0.9761904761904762,0.6949152542372882,0.8118811832604647
0.9411764705882353,0.8421052631578947,0.888888883904321
0.9538461538461539,0.775,0.8551724088466112
0.9876543209876543,0.851063829787234,0.9142857093133062
0.9591836734693877,0.7833333333333333,0.8623853161518392
0.9333333333333333,0.6086956521739131,0.7368421004847646
0.9534883720930233,0.7454545454545455,0.8367346889525199
0.9347826086956522,0.6615384615384615,0.7747747699212726
0.9666666666666667,0.6304347826086957,0.7631578899584488
0.8979591836734694,0.6984126984126984,0.7857142807924108
0.9516129032258065,0.8082191780821918,0.8740740691072703
0.9821428571428571,0.8333333333333334,0.9016393392958882
